"sku","length","width","height","strength","aisle","caustic"
704944,307,243,333,3,6,
704945,369,229,188,2,6,
704947,362,263,164,4,6,
704948,309,243,334,3,6,
704956,287,267,201,3,6,
704957,284,269,201,3,6,
704958,369,226,191,3,6,
704962,516,335,202,3,6,
704963,287,265,205,2,6,
704965,438,332,222,3,6,
704968,285,268,203,3,6,
704969,289,267,200,3,6,
705002,300,221,132,2,6,
705013,375,275,168,4,6,
705024,362,270,168,4,6,
705026,362,270,168,4,6,
705039,365,227,191,3,6,
705040,303,222,133,4,6,
705047,373,276,167,4,6,
705053,498,214,183,3,6,
705054,290,251,217,2,7,
705055,345,291,235,3,6,
705058,373,277,168,4,6,
705074,373,277,168,4,6,
705080,444,329,200,4,6,
705082,448,330,198,4,6,
705106,299,223,133,4,6,
705142,474,341,205,4,6,
705148,337,251,174,4,6,
705151,314,234,118,4,6,
705153,334,248,173,4,6,
705154,337,249,173,4,6,
705156,337,249,173,4,6,
705160,337,250,173,4,6,
705162,337,249,173,4,6,
705163,337,249,173,4,6,
705165,308,226,135,4,6,
705186,300,231,175,4,6,
705187,299,229,176,4,6,
705196,456,293,156,3,6,
705199,298,231,156,3,6,
705217,299,232,157,3,6,
705218,348,259,149,4,6,
705370,401,204,136,2,6,
705422,348,259,115,4,7,
705423,348,259,115,4,7,
705430,348,259,115,4,7,
705448,348,259,115,4,7,
705450,348,259,115,4,7,
705451,348,259,115,4,7,
705459,348,259,115,4,7,
705470,349,262,228,4,7,
705471,415,273,81,4,7,
705474,349,262,227,4,7,
705482,349,261,228,4,7,
705490,349,261,227,4,7,
705509,411,276,153,4,6,
705517,395,241,145,3,6,
705564,410,308,121,4,6,
705575,354,262,111,4,6,
705667,353,261,112,4,6,
705699,459,303,115,4,7,
705889,504,238,198,3,6,
705900,295,172,287,4,6,
705911,293,173,285,4,6,
705913,303,184,194,3,6,
705966,305,130,175,3,6,
705977,276,204,104,4,7,
705982,280,206,105,4,7,
706002,337,248,175,4,6,
706012,311,259,183,3,6,
706031,293,194,287,3,6,
706155,394,202,177,3,7,
706248,400,180,224,3,6,
706364,349,263,98,3,6,
706621,490,258,239,3,6,
706623,305,129,174,3,6,
706636,414,308,120,4,6,
706641,291,213,95,4,6,
706861,304,225,231,4,6,
707171,308,204,190,2,6,
707258,330,246,122,4,6,
707290,440,326,133,4,6,
707477,372,195,209,3,7,
707478,406,272,78,4,6,
707564,317,167,243,3,6,
707565,363,223,195,3,6,
707584,358,218,195,3,6,
707641,347,257,173,4,6,
707647,338,253,172,4,6,
707671,346,256,173,4,6,
707681,347,258,172,4,6,
707695,309,229,151,4,6,
707700,204,186,112,3,6,
707738,312,229,153,4,6,
707748,311,228,150,4,6,
707776,339,189,189,2,6,
707785,343,191,191,2,6,
707899,323,239,131,4,7,
707902,333,191,195,2,6,
707904,302,162,150,3,7,
707917,277,205,105,4,7,
707957,303,163,147,3,7,
707991,346,254,173,4,6,
708107,506,322,122,4,6,
708116,421,271,227,4,6,
708118,485,205,248,4,6,
708119,255,179,182,2,6,
708120,441,409,154,4,6,
708124,382,328,259,4,6,
708128,395,236,219,3,6,
708129,455,320,247,4,6,
708130,394,237,219,3,6,
708172,306,132,176,3,6,
708175,306,133,171,3,6,
708176,304,131,174,3,6,
708183,304,131,177,3,6,
708184,305,130,179,3,6,
708186,395,185,175,3,6,
708188,399,191,171,3,6,
708189,404,186,170,3,6,
708192,306,130,176,3,6,
708194,303,131,173,3,6,
708196,303,127,173,3,6,
708198,303,131,174,3,6,
708212,308,205,192,2,6,
708232,311,230,150,4,6,
708255,419,194,235,3,6,
708260,303,134,173,3,6,
708262,303,129,173,3,6,
708263,305,132,173,3,6,
708278,300,134,176,3,6,
708567,357,259,168,4,6,
708660,356,263,165,4,6,
708680,296,173,283,4,6,
708781,432,214,88,3,7,
708821,332,244,148,4,6,
708994,438,324,93,4,7,
708995,210,165,171,3,6,
709172,374,303,110,2,6,
709283,417,272,106,4,6,
709520,281,205,105,4,7,
709555,283,134,120,4,7,
710009,413,309,120,4,6,
710021,412,308,121,4,6,
710025,414,305,121,4,6,
710049,353,263,112,4,6,
710301,309,228,117,4,6,
710303,309,229,118,4,6,
710333,386,195,205,3,6,
710475,414,315,158,4,6,
710582,307,231,117,4,7,
710584,350,261,151,4,7,
710638,308,229,231,4,6,
710693,412,309,122,4,6,
710713,502,388,195,3,7,
710865,287,212,172,4,6,
711064,367,279,183,4,6,
711079,308,228,114,4,6,
711100,410,313,121,4,6,
711135,367,278,182,4,6,
711143,363,278,182,4,6,
711145,287,205,194,2,7,
711159,403,315,124,4,6,
711175,412,312,122,4,6,
711646,278,207,86,4,6,
711759,264,176,113,3,7,
711992,350,262,116,4,7,
712016,435,213,90,3,7,
712063,396,202,179,4,7,
712105,322,246,148,4,6,
712150,290,218,118,2,6,
712226,333,234,175,3,6,
712259,401,205,179,4,7,
712316,544,186,174,3,6,
712600,410,273,101,4,6,
712748,338,224,88,4,6,
712817,305,226,234,4,7,
712818,307,230,228,4,7,
712897,409,273,104,4,7,
712912,354,260,112,4,6,
713413,283,211,73,4,6,
713677,481,330,163,3,6,
713749,309,228,115,4,6,
713855,277,203,82,4,6,
713977,215,150,197,3,7,
714006,202,135,192,3,7,
714023,311,230,150,4,6,
714095,259,240,206,3,6,
714114,302,228,118,4,6,
714146,292,221,134,4,6,
714269,310,230,248,4,6,
714416,297,218,148,4,6,
714512,350,258,66,4,7,
714548,440,264,222,4,6,
714643,306,228,117,4,6,
714699,279,147,196,3,6,
714779,311,204,191,2,6,
714798,277,147,195,3,6,
715009,490,258,240,3,6,
715092,443,249,172,3,6,
715118,298,200,94,4,7,
715303,409,308,121,4,6,
715381,248,180,128,3,7,
715384,252,181,127,3,7,
715452,280,206,85,4,7,
715487,347,261,227,4,7,
715674,403,207,180,3,6,
715687,351,261,100,3,6,
715690,349,263,99,3,6,
715845,410,314,128,4,6,
716078,281,206,85,4,6,
716169,278,207,85,4,6,
716177,278,204,85,4,6,
716206,304,205,191,2,6,
716229,415,311,125,4,6,
716230,445,329,198,4,6,
716265,347,260,114,4,7,
716445,338,253,139,4,6,
716607,203,194,181,3,6,
716720,203,196,179,3,6,
716728,205,193,179,3,6,
716773,203,192,178,3,6,
716817,394,196,133,2,6,
716873,365,260,115,4,6,
716886,355,263,165,4,6,
716908,465,302,114,4,6,
716916,356,263,168,4,6,
716924,374,278,150,4,6,
716995,327,249,122,4,6,
717037,478,246,176,3,6,
717063,478,246,173,4,6,
717541,339,255,139,4,6,
717579,247,196,145,3,7,
717582,247,196,145,3,7,
717596,249,195,144,3,7,
717636,308,209,190,2,6,
717852,351,260,100,3,6,
717883,279,207,85,4,6,
717911,279,207,85,4,6,
717916,330,249,139,4,6,
717942,308,229,116,4,6,
718186,357,263,168,4,6,
718199,311,210,192,2,6,
718208,309,209,189,2,6,
718245,287,284,193,4,8,
718316,275,204,105,4,7,
718523,278,205,84,4,6,
718744,415,310,123,4,6,
718813,281,205,85,4,6,
718855,309,227,117,4,6,
718889,446,259,218,4,6,
718910,277,205,86,4,6,
718975,417,307,120,4,6,
719078,432,214,86,4,7,
719458,351,261,110,4,6,
719522,286,213,209,4,8,
719620,286,214,206,4,8,
719633,441,261,220,3,6,
720050,329,246,181,4,6,
720063,309,231,117,4,6,
720134,352,213,180,3,7,
720138,205,141,141,2,4,
720140,205,141,142,2,4,
720141,205,143,140,2,4,
720296,325,251,101,4,6,
720489,281,207,85,4,6,
720546,353,257,162,4,6,
720600,308,227,115,4,6,
720810,309,233,231,4,6,
720883,417,308,61,4,7,
721279,431,214,86,4,7,
721355,399,281,225,4,6,
721356,418,272,105,4,7,
721685,293,233,85,4,7,
721930,429,188,159,1,6,
721998,441,261,221,3,6,
722009,432,189,159,1,6,
722021,445,260,218,3,6,
722022,440,219,196,4,6,
722049,433,189,158,1,6,
722102,419,308,120,4,6,
722105,447,262,217,3,6,
722146,446,266,220,3,6,
722224,300,253,207,3,6,
722242,398,202,176,4,7,
722260,399,208,176,4,7,
722261,399,205,178,4,7,
722273,403,203,177,4,7,
722549,353,261,164,4,6,
722703,356,262,158,4,6,
722705,357,261,158,4,6,
722709,354,262,158,4,6,
722756,353,255,94,4,6,
722822,447,269,215,3,6,
722830,274,209,84,4,6,
722837,309,223,112,4,6,
722878,309,230,117,4,6,
723014,346,256,93,4,6,
723015,498,383,186,3,6,
723017,573,256,185,2,6,
723018,242,138,150,3,6,
723023,418,309,122,4,6,
723027,330,244,125,4,6,
723028,304,229,114,4,6,
723030,330,244,126,4,6,
723035,247,188,166,4,6,
723041,307,231,114,4,6,
723159,415,307,120,4,6,
723266,305,168,168,3,6,
723509,362,225,195,3,6,
723510,367,219,195,3,6,
723553,327,240,125,4,6,
723554,329,245,125,4,6,
723588,376,333,262,3,6,
723589,363,219,197,3,6,
723620,354,264,110,4,6,
723622,354,263,114,4,6,
723624,354,263,158,4,6,
723768,280,206,83,4,6,
724016,202,133,195,3,7,
724174,310,230,115,4,6,
724280,314,231,114,4,7,
724282,312,233,116,4,7,
724284,311,231,114,3,6,
724311,310,230,114,4,7,
724354,332,251,108,3,6,
724384,254,243,207,3,6,
724472,309,256,205,3,6,
724690,308,205,191,2,6,
724909,310,227,116,4,7,
725005,291,191,293,4,6,
725199,287,139,120,4,7,
725278,500,490,195,3,6,
725337,412,307,120,4,6,
725695,501,239,202,4,6,
725946,333,251,101,4,6,
726203,278,207,83,4,7,
726254,430,215,87,4,7,
726439,351,259,110,4,6,
726612,452,249,175,3,6,
726941,310,230,114,4,6,
726985,324,248,123,4,6,
727177,379,254,205,3,6,
727182,355,264,114,4,6,
727488,281,208,86,4,6,
727593,394,236,218,3,6,
727641,235,221,89,4,7,
727790,471,245,192,4,6,
727800,471,247,190,4,6,
727804,473,246,190,4,6,
727887,367,226,200,3,6,
727935,277,205,86,4,6,
727952,245,137,201,2,6,
727973,304,245,190,4,7,
728133,229,128,220,2,6,
728164,415,276,103,4,7,
728165,440,327,180,4,7,
728167,329,243,132,4,7,
728367,442,328,200,4,6,
728370,308,209,192,2,6,
728473,433,189,161,1,6,
728526,250,144,171,3,7,
728601,415,309,120,4,6,
728652,327,242,132,4,7,
728720,436,323,92,4,7,
728771,294,193,287,3,6,
728849,327,252,103,4,6,
728889,311,229,116,4,6,
728923,336,269,104,3,6,
728931,339,259,104,3,6,
729410,344,257,104,3,6,
729523,275,203,84,4,6,
729650,308,228,118,4,6,
729665,327,243,130,4,7,
729919,352,261,117,4,7,
729921,354,259,117,4,7,
729925,355,262,116,4,7,
729927,355,261,116,4,7,
729949,279,205,105,4,7,
730745,300,198,112,2,6,
730757,415,280,104,4,7,
730889,304,256,206,2,6,
731022,412,308,106,4,7,
731023,257,175,96,4,7,
731161,264,197,105,4,7,
731214,353,261,165,4,6,
731307,245,147,141,3,7,
731308,245,151,142,3,7,
731325,301,226,114,4,6,
731404,415,303,105,4,7,
731408,279,209,148,4,7,
731426,313,240,86,4,7,
731428,314,231,120,4,7,
731432,317,234,116,4,7,
731574,497,242,197,4,6,
731999,277,207,86,4,6,
732022,539,121,80,4,7,
732023,542,120,80,4,7,
732075,235,225,88,4,7,
732078,257,225,89,4,7,
732090,260,104,89,3,7,
732091,264,109,88,4,7,
732236,254,221,88,4,7,
732348,239,224,90,4,7,
732350,239,225,91,4,7,
732519,317,233,119,4,7,
732521,413,307,105,4,7,
732527,309,229,117,4,7,
732529,414,307,105,4,7,
732531,280,219,80,4,7,
732604,351,261,78,4,7,
732607,413,306,105,4,7,
732796,353,260,165,4,6,
732799,352,260,164,4,6,
732886,335,249,173,4,6,
733004,240,115,84,4,7,
733145,305,229,115,4,7,
733147,302,228,115,4,7,
733148,306,230,115,4,7,
733149,305,229,115,4,7,
733153,305,229,115,4,7,
733179,301,220,167,4,6,
733187,306,224,165,4,6,
733228,279,206,104,4,7,
733301,303,226,114,4,7,
733302,307,229,116,4,7,
733309,330,247,85,4,7,
733312,336,250,113,4,7,
733318,331,247,86,4,7,
733340,291,212,98,4,7,
733384,305,230,114,4,7,
733407,407,271,81,4,7,
733520,403,263,109,1,6,
733576,308,255,208,3,6,
733601,365,282,171,4,6,
733606,369,279,172,4,6,
733658,367,281,173,4,6,
733660,369,282,173,4,6,
733666,368,280,171,4,6,
733674,359,277,170,4,6,
733698,350,262,148,4,6,
733703,232,178,175,4,6,
733706,364,279,172,4,6,
733715,292,224,135,4,6,
733716,293,223,135,4,6,
733718,289,223,136,4,6,
733722,292,223,135,4,6,
733723,291,221,135,4,6,
733724,287,225,137,4,6,
733725,289,223,134,4,6,
733729,309,237,173,4,6,
733733,410,274,101,4,6,
733734,413,269,105,4,6,
733736,409,272,103,4,6,
733740,410,273,104,4,6,
733744,410,272,105,4,6,
733842,371,226,190,3,6,
734120,375,286,146,3,8,
734177,370,274,163,4,6,
734588,311,231,112,4,6,
734757,411,306,123,4,6,
734951,305,226,114,4,6,
734957,303,226,114,4,6,
734965,323,243,90,4,6,
734980,431,214,86,4,7,
734994,306,226,118,4,7,
734996,301,225,114,4,7,
735107,412,310,120,4,6,
735116,325,241,132,4,7,
735410,303,226,114,4,7,
735614,275,210,109,4,7,
735615,352,263,55,4,7,
735616,347,262,57,4,7,
735619,256,176,94,4,7,
735620,449,120,91,4,7,
735626,347,267,56,4,7,
735863,310,227,116,4,6,
735865,350,261,120,4,6,
735873,348,261,120,4,6,
736231,304,167,168,3,6,
736238,277,205,105,4,7,
736246,272,207,104,4,7,
736249,280,204,104,4,7,
736390,320,154,187,3,6,
736672,462,301,114,4,7,
736751,411,154,202,2,7,
736816,400,135,193,3,7,
736825,460,304,113,4,7,
736854,308,231,115,4,6,
736860,502,245,200,4,6,
736946,402,138,188,2,7,
736957,392,200,201,3,6,
736961,394,194,203,3,6,
737013,311,231,115,4,6,
737101,460,303,65,4,7,
737103,352,265,147,4,7,
737112,306,230,113,4,7,
737114,457,302,115,4,7,
737117,458,302,115,4,7,
737119,353,261,149,4,7,
737136,412,311,120,4,7,
737146,333,222,186,4,7,
737147,305,230,114,4,7,
737218,324,242,132,4,7,
737221,309,233,113,4,6,
737239,351,259,151,4,7,
737251,279,206,105,4,7,
737255,354,261,149,4,7,
737267,349,258,150,4,7,
737309,467,305,107,4,6,
737449,302,135,174,3,6,
737512,309,229,114,4,6,
737519,328,252,110,3,6,
737532,401,130,192,3,7,
737714,305,229,227,4,7,
737721,352,260,149,4,7,
737725,351,260,151,4,7,
737729,351,259,150,4,7,
737734,351,259,90,4,7,
737784,295,192,284,3,6,
737881,457,263,199,3,6,
737929,403,132,191,3,7,
737933,503,260,200,3,6,
737987,349,262,115,4,7,
737988,349,262,115,4,7,
737989,345,262,114,4,7,
737990,345,261,114,4,7,
737995,349,261,116,4,7,
737998,416,309,123,4,6,
738197,307,209,193,2,6,
738525,252,144,178,2,7,
738654,327,242,129,4,7,
738722,323,239,130,4,7,
738763,355,270,123,4,6,
738765,359,271,123,4,6,
738766,282,204,103,4,7,
738769,437,324,91,4,7,
738774,279,205,104,4,7,
738779,275,203,101,4,7,
738783,280,205,105,4,7,
738855,357,263,79,4,7,
738872,249,117,151,3,6,
738936,333,191,199,3,6,
738943,367,280,150,4,6,
738947,449,203,145,4,6,
738980,349,260,115,4,7,
738985,350,261,115,4,7,
738986,346,259,113,4,7,
738987,347,259,111,4,7,
738991,349,261,115,4,7,
738995,345,259,114,4,7,
738996,344,259,114,4,7,
739000,351,261,115,4,7,
739002,413,275,208,4,7,
739008,347,260,115,4,7,
739022,415,272,209,4,7,
739027,413,272,104,4,7,
739042,422,272,211,4,7,
739044,349,257,114,4,7,
739050,410,271,104,4,7,
739054,346,262,114,4,7,
739070,415,273,105,4,7,
739086,419,273,209,4,7,
739087,415,273,106,4,7,
739090,420,276,212,4,7,
739093,414,273,105,4,7,
739101,353,261,148,4,7,
739102,353,262,149,4,7,
739103,353,260,149,4,7,
739124,419,275,105,4,7,
739130,415,271,207,4,7,
739135,413,275,105,4,7,
739136,410,270,104,4,7,
739139,419,273,105,4,7,
739145,415,272,105,4,7,
739161,326,240,127,4,7,
739163,325,242,131,4,7,
739195,413,273,104,4,7,
739197,253,211,135,2,7,
739214,253,209,135,3,7,
739222,249,210,133,3,7,
739224,407,253,144,3,7,
739226,253,213,135,3,7,
739232,404,252,134,3,7,
739240,409,253,145,3,7,
739254,251,205,138,3,7,
739294,251,201,137,3,7,
739302,307,229,116,4,7,
739306,309,227,115,4,7,
739324,352,262,163,4,6,
739364,309,230,116,4,7,
739366,309,228,117,4,7,
739367,307,229,115,4,7,
739396,449,249,175,3,6,
739428,325,241,130,4,7,
739447,372,276,168,4,6,
739449,373,278,168,4,6,
739507,439,328,181,4,7,
739508,443,327,180,4,7,
739509,457,302,118,4,7,
739510,463,303,118,4,7,
739511,460,304,117,4,7,
739512,458,304,118,4,7,
739528,373,199,209,3,7,
739720,278,213,99,4,7,
739721,276,209,95,4,7,
739722,283,211,100,4,7,
739731,245,172,88,3,7,
739740,246,171,90,3,7,
739742,246,171,91,4,7,
739743,280,215,96,4,7,
739747,249,193,103,4,7,
739757,455,305,117,4,7,
739759,460,300,113,4,7,
739912,345,256,119,4,6,
739991,395,199,175,4,7,
740046,323,251,210,3,6,
740096,278,185,68,4,7,
740570,355,260,110,4,6,
740582,351,263,149,4,7,
740589,349,259,114,4,6,
740616,326,244,158,4,6,
740617,327,242,157,4,6,
740618,338,237,160,4,6,
740702,390,304,158,3,6,
740703,490,330,157,3,6,
740709,410,277,103,4,7,
740711,411,279,105,4,7,
740713,308,232,116,4,6,
740714,306,230,114,4,6,
740715,412,281,104,4,7,
740716,308,228,115,4,6,
740721,281,207,104,4,6,
740727,283,207,101,4,6,
740738,353,261,117,4,7,
740748,349,257,183,4,6,
740751,311,218,168,4,6,
740752,349,253,183,4,6,
740753,307,222,165,4,6,
740754,307,224,165,4,6,
740757,307,231,113,4,6,
740775,321,241,158,4,6,
740797,325,238,161,4,6,
740923,457,240,159,3,6,
740973,412,308,121,4,6,
740975,411,310,121,4,6,
741095,327,243,131,4,7,
741104,297,169,289,4,6,
741170,284,214,230,4,6,
741171,242,180,206,4,6,
741172,247,184,205,4,6,
741173,245,180,212,4,6,
741174,256,197,194,4,6,
741175,245,184,214,4,6,
741176,315,237,245,4,6,
741179,285,214,225,4,6,
741180,287,215,231,4,6,
741181,256,196,194,4,6,
741251,308,229,114,4,7,
741367,419,308,104,4,7,
741549,275,202,104,4,7,
741799,291,190,282,3,6,
741824,291,194,284,4,6,
741834,380,201,200,4,6,
741835,329,190,199,3,6,
742004,413,309,183,4,6,
742060,259,177,115,3,6,
742076,327,251,224,4,6,
742078,290,220,191,4,6,
742086,332,249,224,4,6,
742092,270,206,146,4,6,
742102,262,179,112,3,6,
742141,307,225,116,4,7,
743146,303,228,112,4,7,
743269,361,187,214,3,6,
743369,302,179,379,3,6,
743387,249,179,127,3,7,
743428,254,181,123,3,7,
743429,255,183,128,3,7,
743452,281,205,105,4,7,
743521,405,263,114,1,6,
743755,286,134,115,4,7,
743756,282,133,116,4,7,
743757,287,139,119,4,7,
743805,404,130,186,3,6,
743808,403,134,197,3,6,
743889,573,255,299,3,6,
744076,394,241,217,3,6,
744106,307,221,155,3,6,
744388,309,229,117,4,7,
744389,413,307,122,4,6,
744565,371,335,168,3,6,
744755,413,310,120,4,6,
744914,365,277,185,3,6,
744924,301,243,259,4,6,
744954,308,228,115,4,7,
745004,385,201,288,3,6,
745029,385,200,284,2,6,
745589,311,228,115,4,7,
745694,506,242,199,4,6,
745717,301,167,291,4,6,
745861,406,135,193,3,6,
745945,330,249,101,4,6,
746037,457,308,119,4,7,
746065,305,242,114,4,6,
746112,365,199,135,2,6,
746155,367,199,137,2,6,
746239,274,202,104,4,7,
746241,348,259,68,4,7,
746243,365,199,137,3,6,
746261,367,195,137,2,6,
746264,263,173,68,4,7,
746265,205,151,185,3,7,
746282,203,151,183,3,7,
746286,367,199,133,3,6,
746316,305,255,207,3,6,
746322,352,259,68,4,7,
746378,173,146,189,3,7,
746430,345,261,132,4,7,
746443,432,214,86,4,7,
746456,367,204,138,3,7,
746461,439,218,89,4,7,
746523,365,199,135,3,6,
746552,263,174,67,4,7,
746557,255,148,172,2,7,
746559,252,145,173,3,7,
746596,367,199,139,3,6,
746675,370,197,134,3,6,
746742,365,198,136,3,6,
746786,169,147,195,2,7,
746872,367,198,137,3,6,
746873,250,178,185,3,6,
746972,401,130,190,3,6,
747011,344,257,133,4,7,
747058,243,143,177,3,7,
747075,500,200,202,3,6,
747080,507,305,199,3,6,
747081,500,304,202,4,6,
747083,503,303,199,3,6,
747084,500,304,199,3,6,
747085,506,202,199,3,6,
747086,505,202,200,3,6,
747087,436,194,145,4,6,
747090,500,308,200,3,6,
747092,506,304,200,4,6,
747093,507,304,201,3,6,
747095,507,206,199,3,6,
747176,305,162,177,3,6,
747258,307,231,115,4,7,
747346,367,198,136,3,6,
747363,401,127,175,3,6,
747391,367,201,134,3,7,
747437,308,232,179,4,6,
747441,303,252,204,3,6,
747504,308,232,178,4,6,
747554,309,172,166,3,6,
747676,291,193,284,4,6,
747678,294,194,283,3,6,
747679,432,265,185,3,6,
747686,356,260,116,4,6,
747688,493,257,202,4,6,
747690,292,186,285,3,6,
747746,328,317,259,3,6,
747854,459,266,221,3,6,
747894,506,206,203,3,6,
747929,274,153,197,4,6,
747951,507,310,197,3,6,
747953,505,259,197,3,6,
747956,306,168,154,3,7,
748065,433,214,87,4,7,
748201,309,209,190,2,6,
748207,305,209,191,2,6,
748539,429,212,86,4,7,
748547,287,138,120,4,7,
748549,283,134,119,4,7,
748634,480,241,117,3,6,
748648,275,203,105,4,7,
748688,358,233,189,4,6,
748724,352,262,88,4,7,
748873,252,119,146,3,6,
748877,246,121,151,2,6,
748881,354,266,100,3,6,
748882,354,266,100,3,6,
748966,308,234,124,4,6,
748979,307,240,233,4,6,
749022,326,242,131,4,7,
749032,324,240,128,4,7,
749041,325,240,129,4,7,
749043,329,242,131,4,7,
749044,327,241,131,4,7,
749046,326,243,130,3,7,
749047,328,240,125,4,7,
749052,327,242,132,4,7,
749054,329,243,131,4,7,
749059,326,239,130,4,7,
749062,327,243,130,4,7,
